timestamp,server_rack,temperature,humidity,power_consumption,vibration,is_anomaly
"2025-10-07T15:26:43.743Z","R3",19.69,44.09,4582.71,0.219,0
"2025-10-07T15:31:43.743Z","R10",21.36,42.26,4519.42,0.3017,0
"2025-10-07T15:36:43.743Z","R8",20.45,43.3,4499.1,0.4981,0
"2025-10-07T15:41:43.743Z","R1",20.25,40.22,4448.52,0.3655,0
"2025-10-07T15:46:43.743Z","R4",20.95,42.37,4537.93,0.327,0
"2025-10-07T15:51:43.743Z","R7",55.44,53.42,7491.49,5.0096,1
"2025-10-07T15:56:43.743Z","R9",52.84,49.96,9968.7,5.4181,1
"2025-10-07T16:01:43.743Z","R4",20.89,45.54,4645.57,0.5337,0
"2025-10-07T16:06:43.743Z","R4",20.5,45.09,4689.3,0.2315,0
"2025-10-07T16:11:43.743Z","R5",21.25,44.9,4774.78,0.5972,0
"2025-10-07T16:16:43.743Z","R7",48.91,57.1,8015.34,4.7239,1
"2025-10-07T16:21:43.743Z","R9",22.18,44.13,4641.75,0.1881,0
"2025-10-07T16:26:43.743Z","R7",41.85,64.8,10478.76,6.8223,1
"2025-10-07T16:31:43.743Z","R3",21.93,42.44,4718.5,0.5313,0
"2025-10-07T16:36:43.743Z","R2",20.29,41.51,4783.39,0.5397,0
"2025-10-07T16:41:43.743Z","R2",21.22,44.34,4743.04,0.2359,0
"2025-10-07T16:46:43.743Z","R1",21.11,41.78,4667.52,0.2,0
"2025-10-07T16:51:43.743Z","R8",20.59,42.82,4819.7,0.4792,0
"2025-10-07T16:56:43.743Z","R2",20.58,45.51,4799,0.5483,0
"2025-10-07T17:01:43.743Z","R5",21.14,44.82,5054.29,0.4737,0
"2025-10-07T17:06:43.743Z","R9",21.39,45.79,4994,0.3625,0
"2025-10-07T17:11:43.743Z","R5",21.37,42.91,5031.13,0.3088,0
"2025-10-07T17:16:43.743Z","R2",22.74,42.97,5076.27,0.2075,0
"2025-10-07T17:21:43.743Z","R3",21.57,42.72,5011.48,0.3737,0
"2025-10-07T17:26:43.743Z","R5",22.45,45.15,5059.29,0.3747,0
"2025-10-07T17:31:43.743Z","R4",22.6,43.46,5060.1,0.1222,0
"2025-10-07T17:36:43.743Z","R8",42.65,46.01,12129.33,4.4209,1
"2025-10-07T17:41:43.743Z","R3",21.15,45.22,5097.37,0.473,0
"2025-10-07T17:46:43.743Z","R5",22.5,44.86,5044.48,0.4799,0
"2025-10-07T17:51:43.743Z","R6",21.7,44.36,4968.85,0.3838,0
"2025-10-07T17:56:43.743Z","R1",22.4,43.4,5053.97,0.1492,0
"2025-10-07T18:01:43.743Z","R8",21.96,44.38,5213.81,0.2188,0
"2025-10-07T18:06:43.743Z","R10",23.15,47.78,5179.64,0.3507,0
"2025-10-07T18:11:43.743Z","R1",23.05,47.85,5212.12,0.1846,0
"2025-10-07T18:16:43.743Z","R10",40.33,62.75,9213.57,2.083,1
"2025-10-07T18:21:43.743Z","R9",21.78,44.25,5167.24,0.5843,0
"2025-10-07T18:26:43.743Z","R4",55.77,74.6,11295.28,6.8619,1
"2025-10-07T18:31:43.743Z","R8",22.86,45.99,5269.17,0.5929,0
"2025-10-07T18:36:43.743Z","R7",21.8,47.19,5340.27,0.2223,0
"2025-10-07T18:41:43.743Z","R9",22.47,47.91,5309.98,0.4124,0
"2025-10-07T18:46:43.743Z","R9",40.65,61.83,11921.42,3.9653,1
"2025-10-07T18:51:43.743Z","R2",22.16,45.55,5223.98,0.4774,0
"2025-10-07T18:56:43.743Z","R3",22.39,45.78,5252.52,0.1822,0
"2025-10-07T19:01:43.743Z","R2",23.21,46.31,5482.93,0.3299,0
"2025-10-07T19:06:43.743Z","R8",23.81,46.03,5515.78,0.2309,0
"2025-10-07T19:11:43.743Z","R7",24.33,46.82,5417.62,0.263,0
"2025-10-07T19:16:43.743Z","R1",24.2,45.48,5550.14,0.4281,0
"2025-10-07T19:21:43.743Z","R6",22.95,49.15,5433.01,0.3869,0
"2025-10-07T19:26:43.743Z","R9",22.98,45.1,5406.51,0.5312,0
"2025-10-07T19:31:43.743Z","R1",23.75,47.12,5407.8,0.1711,0
"2025-10-07T19:36:43.743Z","R3",22.74,46.71,5424.78,0.2314,0
"2025-10-07T19:41:43.743Z","R4",24.5,48.86,5430.09,0.4915,0
"2025-10-07T19:46:43.743Z","R4",23.82,49.35,5562.24,0.3414,0
"2025-10-07T19:51:43.743Z","R3",22.9,47.89,5469.97,0.1367,0
"2025-10-07T19:56:43.743Z","R6",23.61,46.57,5412.26,0.5356,0
"2025-10-07T20:01:43.743Z","R5",24.76,50.92,5614.56,0.3408,0
"2025-10-07T20:06:43.743Z","R7",23.47,46.46,5636.93,0.5041,0
"2025-10-07T20:11:43.743Z","R3",23.46,50.65,5695.71,0.4345,0
"2025-10-07T20:16:43.743Z","R5",23.29,48.93,5738.85,0.3928,0
"2025-10-07T20:21:43.743Z","R3",23.71,48.59,5608.83,0.5239,0
"2025-10-07T20:26:43.743Z","R1",24.52,50.07,5798.19,0.4029,0
"2025-10-07T20:31:43.743Z","R5",55.49,73.41,9505.77,3.9906,1
"2025-10-07T20:36:43.743Z","R3",23.48,46.23,5664.29,0.2681,0
"2025-10-07T20:41:43.743Z","R8",23.78,47.36,5785.34,0.2511,0
"2025-10-07T20:46:43.743Z","R6",24.87,48.11,5714.5,0.5193,0
"2025-10-07T20:51:43.743Z","R10",24.66,49.51,5780.84,0.408,0
"2025-10-07T20:56:43.743Z","R9",24.77,50.82,5752.74,0.5314,0
"2025-10-07T21:01:43.743Z","R9",24.09,50.04,5770.74,0.5309,0
"2025-10-07T21:06:43.743Z","R6",24.23,48.83,5957.59,0.3104,0
"2025-10-07T21:11:43.743Z","R3",24.79,48.88,5898.2,0.5861,0
"2025-10-07T21:16:43.743Z","R4",45.44,50.82,10325.98,6.7054,1
"2025-10-07T21:21:43.743Z","R5",24.81,47.61,5773.77,0.1826,0
"2025-10-07T21:26:43.743Z","R2",24.24,47.28,5883.88,0.4417,0
"2025-10-07T21:31:43.743Z","R2",24.15,49.64,5962.04,0.1614,0
"2025-10-07T21:36:43.743Z","R1",25.08,48.06,5944.44,0.1276,0
"2025-10-07T21:41:43.743Z","R9",24.56,51.7,5872.97,0.5812,0
"2025-10-07T21:46:43.743Z","R8",24.61,48.26,5897.39,0.579,0
"2025-10-07T21:51:43.743Z","R3",24.19,50.07,5926.42,0.1895,0
"2025-10-07T21:56:43.743Z","R4",45.72,65.31,10543.44,6.7168,1
"2025-10-07T22:01:43.743Z","R1",25.8,48.47,6025.99,0.3548,0
"2025-10-07T22:06:43.743Z","R1",25.37,50.75,5952.04,0.2702,0
"2025-10-07T22:11:43.743Z","R9",25.77,48.64,6061.1,0.5859,0
"2025-10-07T22:16:43.743Z","R8",24.75,51.28,5886.52,0.2103,0
"2025-10-07T22:21:43.743Z","R9",41.08,59.53,10715.1,6.7186,1
"2025-10-07T22:26:43.743Z","R1",25.04,49.47,5889.56,0.1919,0
"2025-10-07T22:31:43.743Z","R8",58.67,76.88,11597.04,6.2236,1
"2025-10-07T22:36:43.743Z","R7",24.09,51.87,6046.68,0.416,0
"2025-10-07T22:41:43.743Z","R9",24.97,49,6042.91,0.4777,0
"2025-10-07T22:46:43.743Z","R2",25.5,50.4,6045.41,0.3066,0
"2025-10-07T22:51:43.743Z","R3",25.57,50.49,5943.7,0.1991,0
"2025-10-07T22:56:43.743Z","R2",41.34,53.31,9772.34,2.9837,1
"2025-10-07T23:01:43.743Z","R9",25.44,51.72,5999.34,0.3482,0
"2025-10-07T23:06:43.743Z","R7",59.37,61.25,9603.94,2.3709,1
"2025-10-07T23:11:43.743Z","R3",25.34,48.07,5955.59,0.4922,0
"2025-10-07T23:16:43.743Z","R5",25,47.63,5908.5,0.5505,0
"2025-10-07T23:21:43.743Z","R3",24.06,47.51,6008.95,0.1037,0
"2025-10-07T23:26:43.743Z","R4",57.2,65.08,14174.28,4.7403,1
"2025-10-07T23:31:43.743Z","R2",24.52,48.8,5989.69,0.4384,0
"2025-10-07T23:36:43.743Z","R8",57.83,67.31,14329.93,2.0034,1
"2025-10-07T23:41:43.743Z","R2",25.68,49.97,5989.27,0.3651,0
"2025-10-07T23:46:43.743Z","R9",25.13,50.12,6082.5,0.4442,0
"2025-10-07T23:51:43.743Z","R1",25.22,51.44,6070.88,0.5153,0
"2025-10-07T23:56:43.743Z","R7",25.46,50.75,5952.49,0.3706,0
"2025-10-08T00:01:43.743Z","R3",24.77,47.72,5964.36,0.3312,0
"2025-10-08T00:06:43.743Z","R9",24.83,48.76,5988.55,0.5277,0
"2025-10-08T00:11:43.743Z","R10",25.72,47.55,5884.29,0.3487,0
"2025-10-08T00:16:43.743Z","R5",25.47,51.21,5946.31,0.2401,0
"2025-10-08T00:21:43.743Z","R2",45.1,74.62,11117.02,5.362,1
"2025-10-08T00:26:43.743Z","R7",43.53,70.74,14584.91,6.9315,1
"2025-10-08T00:31:43.743Z","R9",24.73,50.1,5904.92,0.3969,0
"2025-10-08T00:36:43.743Z","R2",24.52,51.67,6046.69,0.4392,0
"2025-10-08T00:41:43.743Z","R10",24.39,49,5964.34,0.5134,0
"2025-10-08T00:46:43.743Z","R1",25.78,50.99,5996.83,0.2017,0
"2025-10-08T00:51:43.743Z","R6",24.31,51.09,5952.61,0.5022,0
"2025-10-08T00:56:43.743Z","R7",24.97,47.93,6040.96,0.1273,0
"2025-10-08T01:01:43.743Z","R4",49.14,50.56,13080.64,4.164,1
"2025-10-08T01:06:43.743Z","R9",25.33,51.22,5842.36,0.1667,0
"2025-10-08T01:11:43.743Z","R2",24.63,51.22,5777.62,0.5998,0
"2025-10-08T01:16:43.743Z","R4",40.58,57.97,13812.76,2.9693,1
"2025-10-08T01:21:43.743Z","R7",57.48,52.64,12657.72,4.833,1
"2025-10-08T01:26:43.743Z","R3",25.53,48.37,5862.45,0.2579,0
"2025-10-08T01:31:43.743Z","R6",25.28,50.3,5847.52,0.5514,0
"2025-10-08T01:36:43.743Z","R6",23.67,51.48,5827.73,0.2007,0
"2025-10-08T01:41:43.743Z","R3",24.4,47.01,5942.81,0.3592,0
"2025-10-08T01:46:43.743Z","R5",25.59,47.87,5964.05,0.2486,0
"2025-10-08T01:51:43.743Z","R3",24.77,51,5948.24,0.1494,0
"2025-10-08T01:56:43.743Z","R7",23.81,51.38,5922.05,0.5126,0
"2025-10-08T02:01:43.743Z","R5",24.81,48.6,5731.22,0.2474,0
"2025-10-08T02:06:43.743Z","R7",24.7,48.18,5704.47,0.4422,0
"2025-10-08T02:11:43.743Z","R4",24.01,46.3,5766.14,0.1439,0
"2025-10-08T02:16:43.743Z","R6",23.87,50.09,5632.36,0.3113,0
"2025-10-08T02:21:43.743Z","R2",24.99,49.55,5774.44,0.1228,0
"2025-10-08T02:26:43.743Z","R10",24.8,47.25,5769.42,0.2658,0
"2025-10-08T02:31:43.743Z","R1",52.86,68.69,12254.14,6.4187,1
"2025-10-08T02:36:43.743Z","R8",23.73,47.54,5743.08,0.4836,0
"2025-10-08T02:41:43.743Z","R3",23.53,48.63,5644.09,0.146,0
"2025-10-08T02:46:43.743Z","R1",48.48,74.37,11887.4,6.9453,1
"2025-10-08T02:51:43.743Z","R9",44.07,63.58,12545.15,2.5144,1
"2025-10-08T02:56:43.743Z","R8",48.73,71.52,8680.39,3.3003,1
"2025-10-08T03:01:43.743Z","R2",23.47,47.44,5435.48,0.323,0
"2025-10-08T03:06:43.743Z","R8",23.34,45.39,5416.76,0.1108,0
"2025-10-08T03:11:43.743Z","R9",23.93,45.79,5465.02,0.2822,0
"2025-10-08T03:16:43.743Z","R1",22.5,49.7,5553.45,0.5788,0
"2025-10-08T03:21:43.743Z","R1",47.76,70.21,10705.26,5.6332,1
"2025-10-08T03:26:43.743Z","R3",24.4,45.21,5535.73,0.3488,0
"2025-10-08T03:31:43.743Z","R2",23.63,45.28,5523.76,0.1878,0
"2025-10-08T03:36:43.743Z","R10",24.46,48.91,5587.15,0.3741,0
"2025-10-08T03:41:43.743Z","R10",24.12,46.32,5461.21,0.547,0
"2025-10-08T03:46:43.743Z","R6",23.58,48.48,5589.93,0.596,0
"2025-10-08T03:51:43.743Z","R1",23.17,49.84,5427.39,0.3896,0
"2025-10-08T03:56:43.743Z","R3",23.53,49.33,5533.25,0.523,0
"2025-10-08T04:01:43.743Z","R8",21.86,44.71,5332.65,0.1036,0
"2025-10-08T04:06:43.743Z","R8",22.1,47.81,5221.39,0.5678,0
"2025-10-08T04:11:43.743Z","R7",22.59,44.15,5248.02,0.2364,0
"2025-10-08T04:16:43.743Z","R3",38.19,75.76,11750.22,5.9332,1
"2025-10-08T04:21:43.743Z","R1",41.37,56.66,11691.36,6.9699,1
"2025-10-08T04:26:43.743Z","R9",23.08,47.97,5170.86,0.1998,0
"2025-10-08T04:31:43.743Z","R7",22.13,47.15,5241.58,0.2959,0
"2025-10-08T04:36:43.743Z","R8",41.2,76.07,10672.91,6.7943,1
"2025-10-08T04:41:43.743Z","R10",22.4,48.27,5269.48,0.4291,0
"2025-10-08T04:46:43.743Z","R6",23.73,45.74,5261.87,0.1281,0
"2025-10-08T04:51:43.743Z","R7",22.55,46.28,5160.1,0.5189,0
"2025-10-08T04:56:43.743Z","R3",23.07,46.84,5252.26,0.4461,0
"2025-10-08T05:01:43.743Z","R6",21.51,46.94,5043.42,0.2823,0
"2025-10-08T05:06:43.743Z","R8",21.5,45.65,5055.65,0.3152,0
"2025-10-08T05:11:43.743Z","R4",22.85,44.8,4974.42,0.34,0
"2025-10-08T05:16:43.743Z","R4",22.19,46.1,5002.48,0.4366,0
"2025-10-08T05:21:43.743Z","R1",49.18,66.41,8871.65,6.7009,1
"2025-10-08T05:26:43.743Z","R1",22.48,42.99,4922.18,0.4333,0
"2025-10-08T05:31:43.743Z","R8",22.87,45.22,5007.89,0.1967,0
"2025-10-08T05:36:43.743Z","R6",22.12,44.71,4984.53,0.4887,0
"2025-10-08T05:41:43.743Z","R10",22.38,43.96,4992.62,0.5573,0
"2025-10-08T05:46:43.743Z","R6",21.51,45.14,4993.4,0.3183,0
"2025-10-08T05:51:43.743Z","R7",22.14,45.42,4966.61,0.1186,0
"2025-10-08T05:56:43.743Z","R8",22.43,47.38,5079.64,0.2452,0
"2025-10-08T06:01:43.743Z","R6",20.84,44.27,4838.62,0.3736,0
"2025-10-08T06:06:43.743Z","R10",21.01,43.92,4773.63,0.4383,0
"2025-10-08T06:11:43.743Z","R10",21.96,45.51,4738.55,0.5785,0
"2025-10-08T06:16:43.743Z","R10",20.34,42.19,4754.63,0.3309,0
"2025-10-08T06:21:43.743Z","R2",20.46,43.11,4664.86,0.1321,0
"2025-10-08T06:26:43.743Z","R7",37.32,71.33,7707.28,2.6067,1
"2025-10-08T06:31:43.743Z","R8",20.24,45.15,4814.69,0.3784,0
"2025-10-08T06:36:43.743Z","R4",21.54,42.15,4729.06,0.1408,0
"2025-10-08T06:41:43.743Z","R3",20.97,41.81,4678.8,0.2864,0
"2025-10-08T06:46:43.743Z","R10",21.6,45.94,4809.04,0.2031,0
"2025-10-08T06:51:43.743Z","R8",45.36,59.85,9183.41,6.4197,1
"2025-10-08T06:56:43.743Z","R9",51.29,73.11,10966.7,3.3,1
"2025-10-08T07:01:43.743Z","R1",21.03,44.19,4413.04,0.4046,0
"2025-10-08T07:06:43.743Z","R1",19.83,43.14,4440.49,0.1354,0
"2025-10-08T07:11:43.743Z","R8",21.03,44.77,4424.46,0.1202,0
"2025-10-08T07:16:43.743Z","R1",20.17,40.75,4447.04,0.4194,0
"2025-10-08T07:21:43.743Z","R4",20.04,42.03,4546.46,0.1751,0
"2025-10-08T07:26:43.743Z","R3",19.55,42.26,4529.19,0.2201,0
"2025-10-08T07:31:43.743Z","R10",20.94,41.91,4436.99,0.5088,0
"2025-10-08T07:36:43.743Z","R3",21.34,40.39,4515.19,0.5492,0
"2025-10-08T07:41:43.743Z","R6",19.89,41.13,4514.52,0.5703,0
"2025-10-08T07:46:43.743Z","R4",20.88,42.24,4586.82,0.4401,0
"2025-10-08T07:51:43.743Z","R7",19.69,44.32,4527.07,0.4285,0
"2025-10-08T07:56:43.743Z","R6",21.26,42.92,4417.01,0.3445,0
"2025-10-08T08:01:43.743Z","R6",19.64,38.97,4343.32,0.1984,0
"2025-10-08T08:06:43.743Z","R2",19.48,43.65,4347.87,0.4059,0
"2025-10-08T08:11:43.743Z","R3",20.57,39.1,4312.46,0.2236,0
"2025-10-08T08:16:43.743Z","R7",19.32,41.9,4326.06,0.4331,0
"2025-10-08T08:21:43.743Z","R6",20.37,42.47,4193.05,0.5133,0
"2025-10-08T08:26:43.743Z","R3",20.26,41.1,4220.6,0.5144,0
"2025-10-08T08:31:43.743Z","R10",20.82,41.32,4343.42,0.4855,0
"2025-10-08T08:36:43.743Z","R9",19.64,43.49,4228.25,0.3904,0
"2025-10-08T08:41:43.743Z","R6",36.34,65.37,7030.12,3.4326,1
"2025-10-08T08:46:43.743Z","R2",42.37,43.03,6799.06,3.8438,1
"2025-10-08T08:51:43.743Z","R8",19.16,43.79,4331.57,0.259,0
"2025-10-08T08:56:43.743Z","R7",20.52,41.84,4204.89,0.3471,0
"2025-10-08T09:01:43.743Z","R9",19.31,42.49,4220.49,0.2538,0
"2025-10-08T09:06:43.743Z","R1",19.64,41.18,4072.32,0.5659,0
"2025-10-08T09:11:43.743Z","R6",19.77,38.27,4229.96,0.5133,0
"2025-10-08T09:16:43.743Z","R10",20.17,42.86,4180.85,0.4376,0
"2025-10-08T09:21:43.743Z","R8",50.25,65.74,9411.3,6.508,1
"2025-10-08T09:26:43.743Z","R7",20.02,38.93,4168.92,0.4273,0
"2025-10-08T09:31:43.743Z","R7",18.48,39.28,4173.04,0.5323,0
"2025-10-08T09:36:43.743Z","R6",20.39,41.56,4087.48,0.1751,0
"2025-10-08T09:41:43.743Z","R9",34.92,41.12,9130.95,6.7314,1
"2025-10-08T09:46:43.743Z","R4",19.26,39.2,4166.73,0.5921,0
"2025-10-08T09:51:43.743Z","R4",19.02,39.42,4147.59,0.4615,0
"2025-10-08T09:56:43.743Z","R1",38.73,68.72,8502.06,6.2114,1
"2025-10-08T10:01:43.743Z","R8",51.99,64.32,9677.82,5.8073,1
"2025-10-08T10:06:43.743Z","R7",20.09,39.84,3962.42,0.4988,0
"2025-10-08T10:11:43.743Z","R7",18.55,40.3,4080.29,0.5987,0
"2025-10-08T10:16:43.743Z","R7",34.58,51.75,8210.01,3.9157,1
"2025-10-08T10:21:43.743Z","R10",19.69,39.12,4040.03,0.3191,0
"2025-10-08T10:26:43.743Z","R1",19.6,39.46,3989.66,0.1437,0
"2025-10-08T10:31:43.743Z","R9",19.18,42.45,3976.25,0.1138,0
"2025-10-08T10:36:43.743Z","R1",19.19,39.2,4033.35,0.1616,0
"2025-10-08T10:41:43.743Z","R7",19.19,39.98,3942.94,0.1763,0
"2025-10-08T10:46:43.743Z","R5",18.26,41.26,4071.09,0.4297,0
"2025-10-08T10:51:43.743Z","R9",18.72,40.29,4009.11,0.5287,0
"2025-10-08T10:56:43.743Z","R6",20.02,38.79,3969.08,0.1818,0
"2025-10-08T11:01:43.743Z","R3",18,42.1,3931.06,0.2843,0
"2025-10-08T11:06:43.743Z","R8",18.34,41.23,3955.32,0.2856,0
"2025-10-08T11:11:43.743Z","R4",19.25,37.8,3978.82,0.1017,0
"2025-10-08T11:16:43.743Z","R1",18.61,41.29,4046.87,0.3321,0
"2025-10-08T11:21:43.743Z","R10",19.73,40.35,4039.01,0.2421,0
"2025-10-08T11:26:43.743Z","R2",18.82,40.74,3961.21,0.4434,0
"2025-10-08T11:31:43.743Z","R7",19.57,40.45,3999.81,0.5192,0
"2025-10-08T11:36:43.743Z","R3",18.2,40.63,3965.31,0.3705,0
"2025-10-08T11:41:43.743Z","R2",18.72,41.73,4046.8,0.4725,0
"2025-10-08T11:46:43.743Z","R10",19.49,41.83,4000.84,0.4816,0
"2025-10-08T11:51:43.743Z","R3",41.43,49.11,9453.85,3.8959,1
"2025-10-08T11:56:43.743Z","R6",19.22,41.77,3973.31,0.4223,0
"2025-10-08T12:01:43.743Z","R8",18.78,38.14,3958.03,0.5292,0
"2025-10-08T12:06:43.743Z","R2",19.76,42.46,4055.43,0.4371,0
"2025-10-08T12:11:43.743Z","R10",19.67,40.91,3962.39,0.5542,0
"2025-10-08T12:16:43.743Z","R7",18.53,39.35,3951.05,0.3121,0
"2025-10-08T12:21:43.743Z","R10",35.45,50.39,9162.39,3.2884,1
"2025-10-08T12:26:43.743Z","R3",19.14,41.42,3987.23,0.4087,0
"2025-10-08T12:31:43.743Z","R10",19.88,38.55,4066.84,0.1595,0
"2025-10-08T12:36:43.743Z","R4",18.97,39.21,4118.34,0.2871,0
"2025-10-08T12:41:43.743Z","R3",19.98,41.19,4066.97,0.5122,0
"2025-10-08T12:46:43.743Z","R7",18.55,37.79,3962.04,0.5947,0
"2025-10-08T12:51:43.743Z","R6",19.04,41.02,4078.57,0.5863,0
"2025-10-08T12:56:43.743Z","R1",39.36,61.28,9295.21,6.0061,1
"2025-10-08T13:01:43.743Z","R5",18.41,42.54,4039.79,0.1739,0
"2025-10-08T13:06:43.743Z","R6",20.12,40.98,4039.09,0.4614,0
"2025-10-08T13:11:43.743Z","R7",19.37,38.81,4087.23,0.1687,0
"2025-10-08T13:16:43.743Z","R4",19.91,41.36,4178.65,0.2872,0
"2025-10-08T13:21:43.743Z","R5",18.58,38.2,4155.44,0.4825,0
"2025-10-08T13:26:43.743Z","R4",20.2,43.07,4178.23,0.2744,0
"2025-10-08T13:31:43.743Z","R3",19.93,38.47,4230.32,0.3963,0
"2025-10-08T13:36:43.743Z","R3",52.13,54.78,9653.15,3.9924,1
"2025-10-08T13:41:43.743Z","R8",18.92,42.3,4097,0.3401,0
"2025-10-08T13:46:43.743Z","R3",20.3,39.06,4177.29,0.4076,0
"2025-10-08T13:51:43.743Z","R8",18.83,40.96,4153.19,0.156,0
"2025-10-08T13:56:43.743Z","R7",19.22,41.26,4037.93,0.5388,0
"2025-10-08T14:01:43.743Z","R7",19.45,43.49,4319.35,0.4075,0
"2025-10-08T14:06:43.743Z","R8",45.95,42.02,6573,5.0828,1
"2025-10-08T14:11:43.743Z","R3",20.66,39.08,4312.08,0.2738,0
"2025-10-08T14:16:43.743Z","R2",53.7,54.14,9580.14,4.94,1
"2025-10-08T14:21:43.743Z","R6",19.39,42.25,4312.35,0.1982,0
"2025-10-08T14:26:43.743Z","R7",19.06,42.54,4370.9,0.592,0
"2025-10-08T14:31:43.743Z","R6",20.32,42.81,4378.33,0.3231,0
"2025-10-08T14:36:43.743Z","R10",20.84,40.33,4299.22,0.3537,0
"2025-10-08T14:41:43.743Z","R8",19.52,42.64,4237.33,0.5434,0
"2025-10-08T14:46:43.743Z","R1",20.4,40.79,4228.57,0.2336,0
"2025-10-08T14:51:43.743Z","R3",19.07,42.63,4357.82,0.2476,0
"2025-10-08T14:56:43.743Z","R1",20.46,43.35,4386.1,0.3696,0
"2025-10-08T15:01:43.743Z","R8",19.62,43.95,4570.03,0.5892,0
"2025-10-08T15:06:43.743Z","R3",19.79,41.28,4533.61,0.3297,0
"2025-10-08T15:11:43.743Z","R2",21.26,41.42,4502.33,0.1448,0
"2025-10-08T15:16:43.743Z","R1",20.47,40.93,4476.14,0.241,0
"2025-10-08T15:21:43.743Z","R3",20.29,40.27,4405.6,0.4424,0
"2025-10-08T15:26:43.743Z","R7",21.38,42.53,4418.07,0.4727,0
"2025-10-08T15:31:43.743Z","R6",20.1,43.63,4504.79,0.2098,0
"2025-10-08T15:36:43.743Z","R9",21.11,44.87,4447.93,0.1282,0
"2025-10-08T15:41:43.743Z","R2",36.23,64.88,10867.06,6.4194,1
"2025-10-08T15:46:43.743Z","R3",39.05,71.04,7082.75,5.2353,1
"2025-10-08T15:51:43.743Z","R1",20.82,40.39,4484.09,0.3169,0
"2025-10-08T15:56:43.743Z","R4",20.38,41.42,4443.52,0.1984,0
"2025-10-08T16:01:43.743Z","R6",20.37,44.55,4656.01,0.5379,0
"2025-10-08T16:06:43.743Z","R5",21.43,45.87,4702.53,0.1249,0
"2025-10-08T16:11:43.743Z","R1",20.4,43.04,4737.94,0.2172,0
"2025-10-08T16:16:43.743Z","R7",21.17,41.9,4676.83,0.3785,0
